compound_id,compound_name,peak_id,delta_H,intensity,source_file
HMDB0000001,HMDB0000001,1,3.04,0.0589,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,2,3.06,0.0609,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,3,3.07,0.11,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,4,3.09,0.1135,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,5,3.14,0.1072,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,6,3.15,0.1115,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,7,3.17,0.0585,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,8,3.18,0.057,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,9,3.68,1.0,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,10,3.95,0.0964,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,11,3.95,0.1092,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,12,3.96,0.1042,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,13,3.97,0.0885,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,14,7.0,0.2369,HMDB0000001_nmroned_1022_27891.txt
HMDB0000001,HMDB0000001,15,7.67,0.223,HMDB0000001_nmroned_1022_27891.txt
HMDB0000002,HMDB0000002,1,2.04,0.0892,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,2,2.05,0.0902,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,3,2.06,0.1702,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,4,2.06,0.0961,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,5,2.06,0.0867,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,6,2.07,0.3608,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,7,2.07,0.0918,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,8,2.08,0.0962,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,9,2.08,0.1921,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,10,2.08,0.0934,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,11,2.09,0.1002,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,12,3.1,1.0,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,13,3.11,0.8901,HMDB0000002_nmroned_1023_27894.txt
HMDB0000002,HMDB0000002,14,3.12,0.9576,HMDB0000002_nmroned_1023_27894.txt
HMDB0000005,HMDB0000005,1,2.78,0.1939,HMDB0000005_nmroned_1024_27899.txt
HMDB0000005,HMDB0000005,2,2.77,0.591,HMDB0000005_nmroned_1024_27899.txt
HMDB0000005,HMDB0000005,3,2.75,0.6006,HMDB0000005_nmroned_1024_27899.txt
HMDB0000005,HMDB0000005,4,2.74,0.2044,HMDB0000005_nmroned_1024_27899.txt
HMDB0000005,HMDB0000005,5,1.08,0.5044,HMDB0000005_nmroned_1024_27899.txt
HMDB0000005,HMDB0000005,6,1.07,1.0,HMDB0000005_nmroned_1024_27899.txt
HMDB0000005,HMDB0000005,7,1.06,0.4961,HMDB0000005_nmroned_1024_27899.txt
HMDB0341410,HMDB0341410,1,0.874,1.8908,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,2,0.886,4.0,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,3,0.899,2.0099,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,4,1.605,0.0571,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,5,1.617,0.2113,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,6,1.629,0.3718,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,7,1.641,0.544,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,8,1.653,0.526,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,9,1.664,0.3262,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,10,1.677,0.0969,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,11,1.694,0.1063,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,12,1.702,0.1178,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,13,1.707,0.3002,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,14,1.714,0.3215,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,15,1.719,0.3298,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,16,1.727,0.3617,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,17,1.73,0.255,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,18,1.738,0.2404,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,19,1.743,0.2016,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,20,1.75,0.1795,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,21,1.755,0.1014,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,22,1.763,0.0644,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,23,1.767,0.0245,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,24,1.772,0.014,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,25,3.981,0.6235,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,26,3.989,0.6812,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,27,3.992,0.6159,HMDB0341410_nmroned_1025_27902.txt
HMDB0341410,HMDB0341410,28,4.0,0.5175,HMDB0341410_nmroned_1025_27902.txt
HMDB0000010,HMDB0000010,1,0.83,0.5343,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,2,1.26,0.0037,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,3,1.27,0.0057,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,4,1.28,0.0124,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,5,1.29,0.0136,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,6,1.3,0.0153,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,7,1.31,0.0131,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,8,1.32,0.0075,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,9,1.33,0.005,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,10,1.34,0.0072,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,11,1.36,0.059,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,12,1.38,0.0734,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,13,1.39,0.0158,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,14,1.4,0.0141,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,15,1.41,0.0028,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,16,1.42,0.0042,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,17,1.44,0.0051,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,18,1.45,0.0046,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,19,1.46,0.033,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,20,1.47,0.0313,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,21,1.47,0.0317,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,22,1.48,0.045,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,23,1.48,0.0419,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,24,1.49,0.0255,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,25,1.5,0.0048,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,26,1.51,0.0037,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,27,1.51,0.0043,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,28,1.52,0.0058,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,29,1.52,0.0043,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,30,1.54,0.0128,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,31,1.54,0.0122,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,32,1.55,0.0094,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,33,1.56,0.02,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,34,1.56,0.0103,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,35,1.57,0.012,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,36,1.58,0.0101,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,37,1.59,0.0043,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,38,1.75,0.024,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,39,1.75,0.027,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,40,1.76,0.0287,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,41,1.77,0.0284,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,42,1.88,0.0158,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,43,1.89,0.0133,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,44,1.89,0.0179,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,45,1.91,0.0154,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,46,1.91,0.013,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,47,1.92,0.0151,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,48,1.93,0.0101,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,49,1.93,0.0101,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,50,1.94,0.0138,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,51,1.94,0.0192,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,52,1.96,0.0124,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,53,1.97,0.0113,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,54,2.03,0.0186,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,55,2.05,0.0361,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,56,2.06,0.0283,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,57,2.08,0.0421,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,58,2.09,0.0151,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,59,2.14,0.0082,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,60,2.14,0.0115,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,61,2.15,0.0178,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,62,2.17,0.0114,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,63,2.32,0.0013,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,64,2.32,0.0015,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,65,2.33,0.0018,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,66,2.34,0.013,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,67,2.36,0.0171,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,68,2.36,0.0157,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,69,2.37,0.0084,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,70,2.37,0.0056,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,71,2.38,0.0023,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,72,2.41,0.0293,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,73,2.42,0.0311,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,74,2.44,0.0258,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,75,2.45,0.0248,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,76,2.64,0.0069,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,77,2.65,0.0082,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,78,2.66,0.0256,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,79,2.67,0.0268,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,80,2.68,0.0366,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,81,2.69,0.0171,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,82,2.7,0.0154,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,83,2.71,0.0172,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,84,2.72,0.0052,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,85,2.73,0.0052,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,86,2.74,0.0048,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,87,3.71,0.7925,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,88,6.46,0.1646,HMDB0000010_nmroned_1026_27907.txt
HMDB0000010,HMDB0000010,89,6.77,0.1262,HMDB0000010_nmroned_1026_27907.txt
HMDB0000011,HMDB0000011,1,1.199,0.9939,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,2,1.209,1.0,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,3,2.297,0.1669,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,4,2.308,0.1701,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,5,2.321,0.2688,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,6,2.332,0.2701,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,7,2.396,0.2314,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,8,2.408,0.2342,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,9,2.42,0.1437,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,10,2.432,0.1464,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,11,4.133,0.0229,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,12,4.143,0.1039,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,13,4.154,0.1761,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,14,4.156,0.1379,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,15,4.165,0.1448,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,16,4.166,0.1724,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,17,4.177,0.1012,HMDB0000011_nmroned_1027_27912.txt
HMDB0000011,HMDB0000011,18,4.187,0.0224,HMDB0000011_nmroned_1027_27912.txt
HMDB0000012,HMDB0000012,1,7.86,0.2461,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,2,7.84,0.2507,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,3,6.3,0.0896,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,4,6.29,0.1825,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,5,6.27,0.0905,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,6,5.9,0.1751,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,7,5.89,0.1728,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,8,4.48,0.0416,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,9,4.47,0.0843,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,10,4.47,0.066,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,11,4.47,0.064,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,12,4.46,0.0875,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,13,4.45,0.0431,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,14,4.06,0.0468,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,15,4.06,0.1024,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,16,4.05,0.1069,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,17,4.04,0.0491,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,18,3.86,0.065,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,19,3.85,0.0624,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,20,3.84,0.1087,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,21,3.83,0.1006,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,22,3.78,0.1048,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,23,3.77,0.0987,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,24,3.76,0.0647,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,25,3.75,0.0607,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,26,2.44,0.0212,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,27,2.44,0.0247,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,28,2.43,0.0241,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,29,2.43,0.0264,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,30,2.42,0.0611,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,31,2.41,0.0654,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,32,2.41,0.0642,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,33,2.4,0.0602,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,34,2.4,0.0584,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,35,2.39,0.1028,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,36,2.37,0.064,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,37,2.36,0.0375,HMDB0000012_nmroned_1028_27917.txt
HMDB0000012,HMDB0000012,38,2.35,0.0204,HMDB0000012_nmroned_1028_27917.txt
HMDB0000014,HMDB0000014,1,2.28,0.1291,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,2,2.3,0.1286,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,3,2.31,0.1584,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,4,2.32,0.1622,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,5,2.33,0.1179,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,6,2.35,0.2099,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,7,2.35,0.1022,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,8,2.36,0.3533,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,9,2.36,0.2055,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,10,2.37,0.5588,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,11,2.38,0.3085,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,12,2.39,0.3143,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,13,2.39,0.3182,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,14,2.4,0.324,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,15,2.4,0.3223,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,16,2.41,0.1313,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,17,2.42,0.1169,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,18,2.42,0.1229,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,19,2.43,0.1094,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,20,3.6,0.3003,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,21,3.73,0.3136,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,22,3.74,0.4676,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,23,3.75,0.4946,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,24,3.76,0.5501,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,25,3.81,0.4839,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,26,3.82,0.5248,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,27,3.83,0.3032,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,28,3.84,0.3101,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,29,4.02,0.2003,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,30,4.03,0.4128,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,31,4.03,0.2873,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,32,4.04,0.2873,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,33,4.04,0.3871,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,34,4.04,0.1837,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,35,4.44,0.1598,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,36,4.44,0.3225,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,37,4.45,0.191,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,38,4.45,0.1998,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,39,4.46,0.307,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,40,4.46,0.1501,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,41,5.87,0.8198,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,42,5.89,0.8231,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,43,6.26,0.3366,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,44,6.27,0.6834,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,45,6.28,0.3311,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,46,7.83,1.0,HMDB0000014_nmroned_1029_27921.txt
HMDB0000014,HMDB0000014,47,7.84,0.972,HMDB0000014_nmroned_1029_27921.txt
HMDB0000016,HMDB0000016,1,0.7,0.916,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,2,0.95,0.0345,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,3,0.96,0.0356,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,4,0.98,0.0614,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,5,0.98,0.0651,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,6,1.0,0.044,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,7,1.01,0.0416,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,8,1.03,0.0192,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,9,1.04,0.0199,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,10,1.06,0.0433,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,11,1.06,0.0467,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,12,1.08,0.0459,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,13,1.09,0.0463,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,14,1.11,0.0252,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,15,1.12,0.0229,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,16,1.19,1.0,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,17,1.31,0.0155,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,18,1.32,0.0352,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,19,1.33,0.0328,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,20,1.34,0.0708,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,21,1.35,0.0507,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,22,1.36,0.0536,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,23,1.37,0.0823,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,24,1.38,0.0701,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,25,1.39,0.0586,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,26,1.4,0.0567,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,27,1.41,0.0398,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,28,1.42,0.0328,HMDB0000016_nmroned_1031_27929.txt
HMDB0000016,HMDB0000016,29,1.43,0.053,HMDB0000016_nmroned_1031_27929.txt
